id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p454,Gådalsfossen,Møre og Romsdal,waterfall,62.96616,7.2759,False,,,,,,False,0,5,0,False,,,,,,
p455,Rivdalsfossen,Trøndelag,waterfall,63.59456,9.63591,False,,,,,,False,0,5,0,False,,,,,,
p456,Tussfossen,Møre og Romsdal,waterfall,62.87414,7.47138,False,,,,,,False,0,5,0,False,,,,,,
p457,Børsfossen,Innlandet,waterfall,61.52375,12.00934,False,,,,,,False,0,5,0,False,,,,,,
p458,Linndalsfallet,Møre og Romsdal,waterfall,62.50128,9.08628,False,,,,,,False,0,5,0,False,,,,,,
p459,Klevfossen,Møre og Romsdal,waterfall,63.22877,8.58813,False,,,,,,False,0,5,0,False,,,,,,
p460,Renåfallet,Innlandet,waterfall,61.68208,11.26879,False,,,,,,False,0,5,0,False,,,,,,
p461,Gammelreita,Møre og Romsdal,waterfall,62.9583,7.92814,False,,,,,,False,0,5,0,False,,,,,,
p462,Hælufossen,Trøndelag,waterfall,62.8,9.58362,False,,,,,,False,0,5,0,False,,,,,,
p463,Kvernbekkfossen,Trøndelag,waterfall,63.32429,9.25323,False,,,,,,False,0,5,0,False,,,,,,
p464,Fossøyfossen,Møre og Romsdal,waterfall,63.31746,8.78978,False,,,,,,False,0,5,0,False,,,,,,
p465,Gravdefossen,Møre og Romsdal,waterfall,62.41189,8.01433,False,,,,,,False,0,5,0,False,,,,,,
p466,Døntefossen,Møre og Romsdal,waterfall,62.39983,8.00094,False,,,,,,False,0,5,3,False,"Døntefossen: L1: Unknown or restricted license: ; Rauma, Norway - panoramio (10).jpg: L1: Unknown or restricted license: cc by 3.0; Rauma, Norway - panoramio (11).jpg: L1: Unknown or restricted license: cc by 3.0",,,,,
p467,Tjønnfossen,Trøndelag,waterfall,62.894,9.96422,False,,,,,,False,0,5,0,False,,,,,,
p468,Stupen,Innlandet,waterfall,61.50015,12.07786,False,,,,,,False,0,5,0,False,,,,,,
p469,Sandåstoen,Trøndelag,waterfall,63.02881,9.23858,False,,,,,,False,0,5,0,False,,,,,,
p470,Haugabotsfossen,Møre og Romsdal,waterfall,62.49109,7.60468,False,,,,,,False,0,5,0,False,,,,,,
p471,Fossakroken,Møre og Romsdal,waterfall,62.33282,7.31338,False,,,,,,False,0,5,0,False,,,,,,
p472,Mongefossen,Møre og Romsdal,waterfall,62.44288,7.8951,False,,,,,,False,0,5,0,False,,,,,,
p473,Gudbrandsdalsfossen,Møre og Romsdal,waterfall,62.34389,7.47245,False,,,,,,False,0,5,0,False,,,,,,
p474,Idlefossen,Vestland,waterfall,60.76834,5.84353,False,,,,,,False,0,5,0,False,,,,,,
p475,Kleivafossen,Vestland,waterfall,61.21219,7.53689,False,,,,,,False,0,5,0,False,,,,,,
p476,Fossatromma,Vestland,waterfall,60.42533,7.25103,False,,,,,,False,0,5,0,False,,,,,,
p477,Øyrafossen,Vestland,waterfall,61.24648,5.55147,False,,,,,,False,0,5,0,False,,,,,,
p478,Ismalfossen,Buskerud,waterfall,60.40059,8.42855,False,,,,,,False,0,5,0,False,,,,,,
p479,Seterhølen,Møre og Romsdal,lake,62.79105,7.99421,False,,,,,,False,0,5,0,False,,,,,,
p480,Søre Steintjønnet,Innlandet,lake,61.61715,10.0439,False,,,,,,False,0,5,0,False,,,,,,
p481,Sivertdammen,Møre og Romsdal,lake,62.6933,6.69406,False,,,,,,False,0,5,0,False,,,,,,
p482,Ormetjern,Buskerud,lake,60.59207,9.23802,False,,,,,,False,0,5,0,False,,,,,,
p483,Lintjønna,Trøndelag,lake,62.62448,9.77791,False,,,,,,False,0,5,0,False,,,,,,
p484,Vetletjørni,Vestland,lake,61.10135,7.15337,False,,,,,,False,0,5,0,False,,,,,,
p485,Sløtatjernet,Innlandet,lake,60.80996,9.40076,False,,,,,,False,0,5,0,False,,,,,,
p486,Nørdre Steintjønnet,Innlandet,lake,61.62035,10.04119,False,,,,,,False,0,5,0,False,,,,,,
p487,Gututjørnet,Innlandet,lake,61.72645,10.17421,False,,,,,,False,0,5,0,False,,,,,,
p488,Øvre Røytjern,Buskerud,lake,60.72531,9.00144,False,,,,,,False,0,5,0,False,,,,,,
p489,Kjerringvatnet,Møre og Romsdal,lake,62.71243,6.74138,False,,,,,,False,0,5,0,False,,,,,,
p490,Øvre Bergetjønna,Innlandet,lake,61.60634,11.26314,False,,,,,,False,0,5,0,False,,,,,,
p491,Vikadalsvatnet,Vestland,lake,61.17937,7.85515,False,,,,,,False,0,5,0,False,,,,,,
p492,Berdalsvatnet,Vestland,lake,61.46059,7.71433,False,,,,,,False,0,5,0,False,,,,,,
p493,Lusetjernet,Innlandet,lake,60.74002,9.38989,False,,,,,,False,0,5,0,False,,,,,,
p494,Hallsettjønna,Trøndelag,lake,62.61145,9.75432,False,,,,,,False,0,5,0,False,,,,,,
p495,Langevatn,Buskerud,lake,60.64243,9.24119,False,,,,,,False,0,5,0,False,,,,,,
p496,Trytetjern,Buskerud,lake,60.57596,9.15481,False,,,,,,False,0,5,0,False,,,,,,
p497,Kvannebakktjerne,Buskerud,lake,60.77885,9.04634,False,,,,,,False,0,5,0,False,,,,,,
p498,Butjønne,Buskerud,lake,60.40252,8.94911,False,,,,,,False,0,5,0,False,,,,,,
p499,Bakkvatnet,Møre og Romsdal,lake,62.91684,7.81258,False,,,,,,False,0,5,0,False,,,,,,
